Date,BAJAJHLDNG,BAYERCROP,BHARTIARTL,BRITANNIA,CESC,CIPLA,CUMMINSIND,DLF,EIHOTEL,FEDERALBNK,HEROMOTOCO,HINDPETRO,ICICIBANK,IDFC,JINDALSTEL,JUSTDIAL,L&TFH,MARICO,MRPL,MUTHOOTFIN,NBCC,NHPC,NMDC,OIL,PFC,RECLTD,SRTRANSFIN,SUNDARMFIN,SUPREMEIND,UNIONBANK,WIPRO
2017-05-19,2127.168701,4626.814941,369.414734,3562.364258,866.684753,562.948059,958.455994,204.281006,143.368698,111.453987,3488.632324,332.876984,274.613647,60.892635,112.150002,509.149994,126.222656,305.087128,121.399445,370.132263,95.229881,29.335136,113.656013,194.296539,145.208069,203.380875,989.080811,1218.002319,1149.630859,174.600006,259.029327
2017-05-22,2063.987793,4529.179688,369.216492,3612.826172,872.956177,561.104553,916.933838,201.820984,143.070633,109.569138,3479.645996,326.044525,271.751801,59.946636,113.75,489.799988,123.186539,312.978149,117.446686,376.28244,93.089607,29.239426,112.686577,193.068497,141.402863,199.584167,987.447266,1221.247437,1150.374634,168.149994,259.751953
2017-05-23,2018.141235,4442.702148,368.572327,3573.798828,839.969666,531.310547,912.402344,193.948883,139.493866,106.989876,3501.671875,318.989807,273.71936,58.004841,108.150002,472,126.123108,309.279266,113.312202,373.744293,89.030472,28.473747,109.962883,190.826111,140.980072,200.052902,949.628479,1216.622925,1130.889282,163.800003,262.343506
2017-05-24,2003.515503,4429.252441,365.054108,3513.244629,863.771301,517.808594,901.172241,187.306793,139.344833,106.444267,3484.676514,319.053009,274.300781,56.660522,111.099998,471.149994,124.032669,306.961273,112.040054,376.868164,88.882858,27.660212,106.454414,187.048889,137.315811,197.568649,935.273132,1217.843506,1131.980103,161,261.645782
2017-05-25,2037.149414,4286.635254,367.383087,3497.832764,877.005371,502.21402,911.26947,191.833237,141.779022,109.96595,3541.57251,324.863617,284.138794,57.357574,118.5,470.350006,128.113998,311.646576,118.264488,380.138489,91.982574,27.995195,108.024002,188.615067,132.946899,192.412643,953.984497,1216.384766,1120.923584,164.300003,267.352142
2017-05-26,2035.327515,4283.696777,370.257111,3396.461426,886.782837,487.167511,935.798584,190.898438,141.62999,111.652397,3534.295654,362.406799,287.582092,59.000633,125,460.399994,130.254227,310.314972,122.080948,389.412537,95.7957,29.143717,107.608528,190.581055,134.872986,191.568939,976.656067,1214.84668,1138.078491,161.149994,268.622986
2017-05-29,2027.69458,4411.020996,369.761597,3398.996826,878.536194,503.559235,922.056396,172.989395,136.513229,107.882698,3580.593994,349.413239,281.635071,58.10442,120.449997,456.100006,126.720383,311.991791,117.17408,381.700439,95.894096,29.048006,104.469368,188.369995,127.30957,184.7724,983.73468,1198.293701,1153.994019,153.300003,266.430145
2017-05-30,2034.884399,4498.742676,367.383087,3406.006836,882.486633,508.690979,917.574158,177.122253,137.009995,109.46994,3653.411133,353.755615,287.448334,58.901054,123.5,451.5,126.023567,309.92041,117.355812,385.654114,96.484528,28.856586,103.684578,193.467407,128.577972,192.834488,994.674377,1216.503906,1136.640747,155.75,267.202637
2017-05-31,2029.221191,4539.092285,368.225464,3512.598145,906.387024,514.520203,927.375977,176.679443,135.271286,110.561165,3658.392578,353.851379,291.964935,58.801472,121.75,447.850006,127.865135,309.723114,119.173172,402.83551,95.918701,28.952297,102.161163,188.430817,125.477448,181.163193,1009.821716,1278.914429,1139.565918,155.5,266.878693
2017-06-01,2044.388428,4532.168457,363.617035,3585.432373,897.646667,513.723083,911.318787,173.924225,134.228073,115.17408,3646.573975,345.55069,286.285461,58.901054,120.300003,438.200012,126.819923,312.189056,122.535294,400.199738,95.180679,28.665167,104.284698,186.097214,122.752724,177.55397,1016.99939,1282.725098,1149.382935,157.699997,269.694519
2017-06-02,2065.317383,4968.538086,369.910248,3571.213867,905.646362,528.171692,929.149109,172.891006,133.482925,113.388443,3760.268311,342.709106,284.541168,59.150002,121.849998,445.700012,127.715828,317.515503,120.763359,418.015686,96.263115,29.430847,104.515518,184.500641,120.075005,178.06958,1015.712341,1283.330444,1147.052612,160.149994,274.927429
2017-06-05,2063.741455,4842.30957,369.067841,3622.620361,898.634277,532.904846,918.805542,174.071808,130.651306,113.239639,3745.812256,346.189484,285.972626,58.751682,121.800003,447.649994,131.548294,318.600555,119.809258,423.287231,98.9692,29.191572,103.823059,185.360199,118.00798,176.616531,1010.960327,1318.331543,1140.557495,160.25,276.871063
2017-06-06,2063.840088,4727.338867,365.698273,3606.760986,881.795288,532.755432,901.024475,172.497406,129.806793,111.602791,3711.625488,348.136566,285.257385,58.452946,118.199997,444.149994,129.806259,313.816589,116.719742,414.745361,99.510422,29.095861,104.515518,182.105347,120.028023,177.92897,986.90271,1328.0271,1112.296387,157.600006,279.362915
2017-06-07,2107.421631,4660.38916,369.464233,3622.918701,898.584839,538.285767,898.660217,171.562592,131.297104,114.082855,3753.919434,344.911865,290.399689,58.452946,119.099998,443.600006,131.647842,314.852325,117.355812,428.754059,98.846199,29.861542,106.731407,183.91655,119.464294,176.194672,990.1698,1332.284424,1149.234253,159.350006,273.806091
2017-06-08,2080.977051,4694.959961,364.409912,3618.643066,895.671387,548.2005,906.196289,172.891006,132.68808,115.37249,3696.486084,344.049896,288.821106,57.407368,121.849998,437.700012,130.403534,315.740051,117.264954,425.190857,97.616158,30.196527,106.454414,179.556168,121.014557,176.054062,990.070801,1310.988037,1162.620972,157.399994,272.061798
2017-06-09,2086.344971,4680.265137,364.509003,3652.151611,887.967957,549.147095,903.634949,181.894714,131.843567,115.918098,3692.237305,344.56134,290.580292,57.407368,123.199997,428.600006,133.190781,312.238373,117.719299,436.075684,97.689964,31.871452,106.408257,177.591095,120.638733,176.100937,982.002136,1315.374268,1165.546265,157.949997,267.601349
2017-06-12,2096.144531,4655.706543,361.932312,3606.064697,884.511292,551.389099,884.819519,180.910721,129.856461,113.190033,3685.546387,347.976654,284.806671,56.162628,122.099998,416.649994,130.602615,310.857452,117.401253,438.760284,97.714569,31.967165,105.669624,177.437241,123.73925,179.569519,977.052063,1286.783936,1204.318604,151.199997,262.318573
2017-06-13,2093.928467,4636.52832,359.950195,3605.518066,882.387939,549.59552,899.448303,181.993118,131.495834,113.983658,3665.278564,345.167572,283.995026,56.262207,122.949997,404.700012,132.195343,311.991791,116.265404,453.647583,97.837578,31.345049,104.284698,180.999802,122.564819,176.429031,961.360168,1285.563232,1189.79126,150.449997,258.157166
2017-06-14,2092.057129,4642.057617,362.229584,3593.039307,885.597656,537.986816,906.048462,184.649948,134.029358,115.37249,3700.979004,349.062714,287.783264,56.262207,122.400002,409.25,136.625076,311.547943,116.265404,465.557373,97.788368,31.345049,102.945946,180.692093,122.142021,173.382294,945.17334,1296.072632,1202.682373,154.649994,255.266617
2017-06-15,2070.783691,4637.474609,362.031372,3544.565918,881.548401,547.502991,900.581116,188.930405,131.148087,118.050957,3689.892822,331.088867,285.709534,56.361782,125.599998,406.299988,140.557083,311.252014,116.265404,461.554901,97.271744,31.153627,103.730736,183.886154,122.705765,174.179153,964.330261,1281.425171,1193.410767,153.100006,260.00116
2017-06-16,2080.435547,4611.322266,361.585388,3548.692383,870.092041,534.847961,906.49176,190.504837,128.614532,119.935806,3695.606934,338.495026,285.483337,56.809891,124.5,407.649994,146.181366,309.032623,115.35672,460.627502,98.747803,31.871452,103.776901,180.815552,124.021133,175.679062,974.428467,1277.654053,1179.577759,151.600006,254.419373
2017-06-19,2080.829346,4593.09082,364.2117,3571.860107,888.758057,537.837341,918.313049,189.717621,129.011963,118.298965,3736.532959,338.750763,289.182251,56.809891,127.099998,406.700012,146.728851,305.826904,116.083672,448.766479,101.084885,32.110729,104.377045,179.187668,125.28952,177.647736,984.427673,1283.459473,1175.611328,151.800003,253.721649
2017-06-20,2093.928467,4591.994629,363.319763,3563.458008,875.770874,545.90863,909.200806,191.439636,131.346786,117.802948,3708.744385,341.655609,292.450012,57.706104,126.199997,409,146.430237,313.619324,115.174988,453.745178,101.822906,32.302151,104.192375,181.244873,124.068115,176.897751,982.64563,1282.645752,1206.053833,151.550003,253.422623
2017-06-21,2083.193115,4593.539063,364.013458,3649.467041,887.029724,539.082886,899.300537,193.998062,136.811295,115.769295,3681.639404,337.952972,291.100006,57.158421,124.650002,408.75,145.68364,312.435669,112.721558,448.180756,103.225159,32.589279,102.853622,176.055344,122.282951,173.569794,995.544434,1289.622192,1216.027466,151.350006,255.067245
2017-06-22,2093.879395,4600.114258,362.92334,3621.079102,870.388306,538.235962,889.547974,192.669662,135.271286,116.56292,3643.985352,326.939026,289.600006,57.457157,121.699997,392.799988,144.588654,310.166992,111.26767,440.41983,101.798302,31.72789,101.09938,172.892609,121.249443,170.335571,988.372864,1282.119751,1197.327026,150.649994,254.220032
2017-06-23,2089.742676,4597.424316,362.92334,3628.785156,858.141907,539.232422,894.375,188.979614,136.463562,114.132462,3575.026611,324.640472,291.850006,55.96347,118.449997,391.399994,139.760727,308.194244,106.633408,436.514954,102.782341,31.057919,99.068161,169.023254,114.95443,165.320206,963.571472,1277.822754,1223.856689,146.449997,256.01416
2017-06-27,2073.0979,4593.539063,368.126373,3626.846191,853.993896,532.755432,896.542236,184.50235,136.066132,111.701996,3609.310547,320.745361,287.899994,54.718731,116.949997,376.600006,135.928268,303.755524,108.723373,425.678955,99.461227,30.675077,96.067497,165.061798,114.531631,158.664261,985.53418,1259.85083,1195.232544,142.5,255.715134
2017-06-28,2068.813721,4569.777832,373.82489,3615.510742,869.104431,534.947571,899.05426,187.700394,135.966782,111.057175,3602.717529,327.385345,290.350006,55.365993,119.349998,373.549988,140.507309,306.764008,108.632507,435.538757,100.12545,30.340094,98.42186,162.604752,116.880516,160.961029,995.793396,1266.866943,1183.314087,145.949997,257.559113
2017-06-29,2073.885986,4602.405762,379.027924,3616.554932,856.561646,541.823181,894.079468,190.996841,136.960327,112.098808,3629.968994,324.48053,293.25,54.917889,122.75,375.25,142.597748,308.440857,108.04187,449.156982,100.519066,30.675077,99.483635,162.911514,114.531631,159.226746,984.139709,1275.877808,1202.014526,145.300003,258.456177
