Date,Date.1,UNIONBANK.NS.Open,UNIONBANK.NS.High,UNIONBANK.NS.Low,UNIONBANK.NS.Close,UNIONBANK.NS.Volume,UNIONBANK.NS.Adjusted,log_returns
2013-06-04,2013-06-04,220.5,224.0,217.800003,219.25,727980.0,194.016388,-0.004550600678888017
2013-06-05,2013-06-05,217.050003,221.0,214.0,216.449997,1251553.0,191.538635,-0.012853092103089379
2013-06-06,2013-06-06,214.050003,223.399994,213.100006,222.75,1664347.0,197.113586,0.028690603641273068
2013-06-07,2013-06-07,221.25,222.949997,212.5,213.449997,1269257.0,188.883911,-0.042647542429153695
2013-06-10,2013-06-10,215.0,217.199997,205.600006,207.850006,1372676.0,183.928452,-0.02658576466943696
2013-06-11,2013-06-11,206.0,209.899994,204.050003,206.25,1169766.0,182.512543,-0.007727934734022669
2013-06-12,2013-06-12,205.0,211.649994,204.300003,210.100006,1155548.0,185.919464,0.018494691271021324
2013-06-13,2013-06-13,208.100006,210.300003,205.100006,207.850006,1070325.0,183.928452,-0.010766756536998656
2013-06-14,2013-06-14,209.050003,214.600006,209.050003,212.399994,659532.0,187.954773,0.021654530577634997
2013-06-17,2013-06-17,213.0,217.649994,206.0,216.75,1326395.0,191.804123,0.02027329382904597
2013-06-18,2013-06-18,215.0,221.399994,214.100006,215.550003,1534833.0,190.742233,-0.0055517074506648
2013-06-19,2013-06-19,215.75,219.0,214.0,217.949997,804448.0,192.866013,0.011072763534839323
2013-06-20,2013-06-20,208.699997,208.699997,199.699997,201.050003,1572804.0,184.690216,-0.04331580123838208
2013-06-21,2013-06-21,200.300003,202.399994,189.050003,194.149994,1850044.0,178.351669,-0.034922643649412784
2013-06-24,2013-06-24,194.0,194.0,182.100006,183.949997,1037664.0,168.981674,-0.05396699859159959
2013-06-25,2013-06-25,184.5,186.800003,176.5,177.399994,2223226.0,162.964645,-0.03625699573377439
2013-06-26,2013-06-26,178.0,183.899994,176.25,180.050003,1360706.0,165.399033,0.0148276606999449
2013-06-27,2013-06-27,182.899994,184.449997,176.600006,178.0,1048565.0,163.515839,-0.011451075876608208
