Date,Date.1,SUNDARMFIN.NS.Open,SUNDARMFIN.NS.High,SUNDARMFIN.NS.Low,SUNDARMFIN.NS.Close,SUNDARMFIN.NS.Volume,SUNDARMFIN.NS.Adjusted,log_returns
2014-09-04,2014-09-04,817.262024,830.7470089999998,809.088989,825.8430179999998,32872.0,800.684082,0.011295635332308152
2014-09-05,2014-09-05,833.565979,837.692993,821.226013,827.35498,27042.0,802.150024,0.001829187940606936
2014-09-08,2014-09-08,837.856995,840.961975,815.6270139999998,819.4689940000002,51074.0,794.504272,-0.00957728978771488
2014-09-09,2014-09-09,819.4689940000002,836.7540280000002,805.4119870000002,832.340027,13122.0,806.9832150000002,0.015584505868175391
2014-09-10,2014-09-10,832.789978,841.7800289999999,817.262024,837.815979,12953.0,812.292297,0.0065573782651595644
2014-09-11,2014-09-11,829.520996,874.0620119999999,821.429993,871.8549800000002,101611.0,845.2943119999999,0.039824617877984636
2014-09-12,2014-09-12,863.1099849999998,898.497986,862.6199949999999,893.307983,61699.0,866.093811,0.02430836454507101
2014-09-15,2014-09-15,884.359009,947.125,884.195984,940.994995,510452.0,912.328064,0.05200641520375093
2014-09-16,2014-09-16,939.851013,954.562012,933.598999,949.73999,67548.0,920.80658,0.00925035865307322
2014-09-17,2014-09-17,925.140015,964.369019,925.140015,958.403015,56170.0,929.20575,0.0090801856537448
2014-09-18,2014-09-18,972.500977,986.434998,931.679016,970.497986,85090.0,940.93219,0.0125408863563381
2014-09-19,2014-09-19,980.713989,1036.290039,976.627991,1010.830017,279351.0,980.035522,0.04071774259423045
2014-09-22,2014-09-22,1000.330017,1020.679993,978.794006,993.913025,79764.0,963.63385,-0.016877419138668692
2014-09-23,2014-09-23,993.789978,1047.72998,980.551025,1035.550049,63107.0,1004.002563,0.04103845422944108
2014-09-24,2014-09-24,1035.550049,1046.099976,1009.809998,1026.400024,26993.0,995.131287,-0.00887517784920444
2014-09-25,2014-09-25,1026.400024,1028.400024,1000.25,1015.080017,34184.0,984.155945,-0.011090310001484305
2014-09-26,2014-09-26,1017.48999,1019.859985,985.700012,1017.700012,15064.0,986.69635,0.0025779774703558194
2014-09-29,2014-09-29,1001.309998,1035.099976,1001.309998,1024.599976,23199.0,993.385986,0.006756952809910288
2014-09-30,2014-09-30,1051.0,1078.380005,1024.890015,1066.359985,89005.0,1033.873779,0.03994868155070108
2014-10-01,2014-10-01,1078.73999,1078.73999,1040.369995,1063.180054,33768.0,1030.790649,-0.0029865698753539505
2014-10-07,2014-10-07,1063.140015,1108.97998,1054.390015,1073.800049,80875.0,1041.087158,0.009939383232188348
2014-10-08,2014-10-08,1063.26001,1077.150024,1063.26001,1069.349976,18493.0,1036.772583,-0.004152908991748916
2014-10-09,2014-10-09,1068.97998,1091.0,1046.589966,1054.550049,6639.0,1022.423706,-0.01393661140844138
2014-10-10,2014-10-10,1058.310059,1060.52002,997.099976,1008.169983,16531.0,977.456543,-0.04497743639191931
2014-10-13,2014-10-13,1029.709961,1082.380005,980.713989,1056.76001,22864.0,1024.566284,0.047070830881309256
2014-10-14,2014-10-14,1062.400024,1089.209961,1048.75,1079.189941,44978.0,1046.312866,0.021003042512261597
2014-10-15,2014-10-15,1079.189941,1079.189941,1079.189941,1079.189941,0.0,1046.312866,0.0
2014-10-16,2014-10-16,1063.219971,1091.0,1031.380005,1053.160034,115668.0,1021.075989,-0.02441546552776153
2014-10-17,2014-10-17,1050.219971,1068.160034,1037.920044,1064.319946,38421.0,1031.8959960000002,0.010540920445115455
2014-10-20,2014-10-20,1072.699951,1077.969971,1063.26001,1073.390015,7403.0,1040.689697,0.008485780634356566
2014-10-21,2014-10-21,1077.800049,1090.22998,1047.77002,1079.72998,22256.0,1046.836426,0.005889025001055259
2014-10-22,2014-10-22,1099.219971,1099.219971,1064.890015,1075.560059,4261.0,1042.793579,-0.003869442948894353
2014-10-27,2014-10-27,1070.609985,1098.599976,1070.609985,1091.130005,15809.0,1057.889282,0.014372433969318974
2014-10-28,2014-10-28,1086.959961,1107.310059,1086.959961,1104.119995,81845.0,1070.483521,0.011834755620984794
2014-10-29,2014-10-29,1087.97998,1144.170044,1087.97998,1116.5,41329.0,1082.486206,0.011150002900272682
2014-10-30,2014-10-30,1095.420044,1127.819946,1095.420044,1120.709961,12345.0,1086.567993,0.0037636605116988524
2014-10-31,2014-10-31,1139.060059,1139.060059,1091.040039,1114.130005,29907.0,1080.188599,-0.005888444005829996
2014-11-03,2014-11-03,1131.910034,1131.910034,993.544983,1068.609985,51841.0,1036.055298,-0.04171513573331875
2014-11-05,2014-11-05,1093.459961,1123.73999,1082.869995,1107.719971,46743.0,1073.973877,0.03594515383891839
2014-11-07,2014-11-07,1123.689941,1124.550049,1082.099976,1087.040039,78540.0,1053.92395,-0.01884537888383697
2014-11-10,2014-11-10,1086.920044,1111.47998,1037.959961,1058.839966,19717.0,1026.582886,-0.02628459337369016
2014-11-11,2014-11-11,1058.400024,1078.790039,1052.589966,1058.069946,16214.0,1025.836304,-0.0007275141808911201
2014-11-12,2014-11-12,1077.969971,1082.050049,1053.569946,1075.880005,17455.0,1043.1040039999998,0.016692700989368703
2014-11-13,2014-11-13,1086.959961,1123.73999,1034.650024,1042.339966,67555.0,1010.585632,-0.03167089077261576
2014-11-14,2014-11-14,1062.109985,1070.160034,1042.01001,1046.540039,10021.0,1014.657715,0.004021332541140232
2014-11-17,2014-11-17,1074.699951,1074.699951,1031.709961,1036.939941,20422.0,1005.349854,-0.009215734652637586
2014-11-18,2014-11-18,1036.939941,1048.51001,1021.820007,1037.680054,18934.0,1006.067505,0.000713577445517366
2014-11-19,2014-11-19,1037.920044,1054.189941,1008.5,1017.080017,25041.0,986.095154,-0.020051595776791054
2014-11-20,2014-11-20,1006.950012,1029.790039,1006.909973,1019.859985,7369.0,988.790466,0.0027295896493360057
2014-11-21,2014-11-21,1021.619995,1032.079956,1005.22998,1011.609985,71037.0,980.791809,-0.008122230865416745
2014-11-24,2014-11-24,1021.619995,1036.329956,988.192017,992.31897,15584.0,962.088379,-0.01925389729295368
2014-11-25,2014-11-25,994.689026,1058.349976,980.713989,1029.829956,68912.0,998.456726,0.0371044963999152
2014-11-26,2014-11-26,1029.829956,1052.630005,1024.030029,1037.959961,79836.0,1006.339111,0.007863569419120253
2014-11-27,2014-11-27,1039.560059,1039.560059,1004.369995,1011.72998,8005.0,980.908142,-0.02559556425117471
2014-11-28,2014-11-28,1037.880005,1070.609985,1021.820007,1062.640015,35604.0,1030.26709,0.049094540211949145
2014-12-01,2014-12-01,1054.27002,1073.060059,1031.709961,1064.969971,30750.0,1032.526123,0.0021902669534314967
2014-12-02,2014-12-02,1068.23999,1070.199951,1037.02002,1055.0,29998.0,1022.859924,-0.009405795351426605
2014-12-03,2014-12-03,1058.349976,1069.550049,1044.089966,1054.640015,82409.0,1022.510803,-0.0003413767477766782
2014-12-04,2014-12-04,1068.160034,1068.160034,1035.22998,1042.699951,16476.0,1010.934509,-0.011386014657251307
2014-12-05,2014-12-05,1038.73999,1059.73999,1038.73999,1044.540039,9575.0,1012.71875,0.001763386543036205
2014-12-08,2014-12-08,1053.369995,1060.359985,1024.76001,1027.089966,11918.0,995.800232,-0.01684715784153834
2014-12-09,2014-12-09,1037.310059,1037.310059,1001.150024,1005.190002,7988.0,974.567383,-0.02155300440060426
2014-12-10,2014-12-10,1006.950012,1032.040039,1006.169983,1021.950012,40151.0,990.816895,0.016536086561132812
2014-12-11,2014-12-11,1017.48999,1029.75,1010.950012,1024.930054,13655.0,993.706055,0.002911694260006037
2014-12-12,2014-12-12,1061.619995,1069.800049,1025.660034,1039.030029,30054.0,1007.376404,0.013663166757909906
2014-12-15,2014-12-15,1033.880005,1041.930054,1000.330017,1003.390015,12059.0,972.822266,-0.034903210845967265
2014-12-16,2014-12-16,1012.869995,1028.930054,1001.880005,1016.059998,12703.0,985.106201,0.012548054115185892
2014-12-17,2014-12-17,1017.48999,1024.719971,983.166016,1019.210022,18019.0,988.160217,0.0030953939221145532
2014-12-18,2014-12-18,1024.030029,1037.839966,1005.47998,1011.77002,30514.0,980.94696,-0.007326456730955222
2014-12-19,2014-12-19,1025.660034,1033.839966,1005.22998,1018.880005,57924.0,987.840393,0.0070027483260339815
2014-12-22,2014-12-22,1025.660034,1037.920044,1021.580017,1031.589966,74852.0,1000.163025,0.012397151543583895
2014-12-23,2014-12-23,1033.630005,1067.790039,1029.75,1061.910034,69281.0,1029.559448,0.028967978641869507
2014-12-24,2014-12-24,1061.619995,1068.97998,1051.449951,1057.699951,16432.0,1025.477661,-0.003972475581938362
2014-12-26,2014-12-26,1064.069946,1066.319946,1034.0,1043.069946,7442.0,1011.293274,-0.013928533714374858
2014-12-29,2014-12-29,1048.02002,1074.449951,1037.800049,1054.430054,23772.0,1022.307556,0.010832400871850112
2014-12-30,2014-12-30,1060.150024,1061.829956,1042.949951,1056.76001,17171.0,1024.566284,0.002207003551161435
2014-12-31,2014-12-31,1062.359985,1062.359985,1046.099976,1058.839966,40687.0,1026.582886,0.0019663149606508053
2015-01-01,2015-01-01,1062.150024,1063.26001,1050.219971,1058.22998,14945.0,1025.991455,-0.0005762821882298041
2015-01-02,2015-01-02,1051.819946,1070.609985,1051.819946,1062.810059,75276.0,1030.432007,0.0043187203257586395
2015-01-05,2015-01-05,1069.709961,1069.709961,1055.900024,1060.77002,32709.0,1028.453979,-0.0019214552160944363
2015-01-06,2015-01-06,1056.719971,1061.619995,1028.23999,1043.359985,18515.0,1011.574585,-0.016548571432077885
2015-01-07,2015-01-07,1043.640015,1053.209961,1026.689941,1031.219971,10605.0,999.804443,-0.011703688055207271
2015-01-08,2015-01-08,1050.140015,1058.349976,1039.800049,1055.089966,35189.0,1022.947144,0.022883394114250773
2015-01-09,2015-01-09,1058.349976,1067.959961,1046.140015,1066.280029,62430.0,1033.796387,0.01055002090992474
2015-01-12,2015-01-12,1059.170044,1082.050049,1059.170044,1072.73999,41422.0,1040.059448,0.006040034157672736
2015-01-13,2015-01-13,1081.199951,1088.589966,1073.22998,1085.160034,84570.0,1052.101074,0.011511314589011334
2015-01-14,2015-01-14,1085.160034,1095.130005,1074.699951,1079.280029,33857.0,1046.4001460000004,-0.005433346400314676
2015-01-15,2015-01-15,1115.560059,1143.349976,1092.469971,1125.410034,122893.0,1091.125,0.041853432826595593
