Date,Date.1,FEDERALBNK.NS.Open,FEDERALBNK.NS.High,FEDERALBNK.NS.Low,FEDERALBNK.NS.Close,FEDERALBNK.NS.Volume,FEDERALBNK.NS.Adjusted,log_returns
2013-06-14,2013-06-14,42.099998,43.200001,42.064999,42.415001,6918950.0,30.257551,0.005555840317421179
2013-06-17,2013-06-17,42.505001,43.48,42.404999,43.220001,2237850.0,30.831814,0.018801305798794576
2013-06-18,2013-06-18,43.0,43.75,42.955002,43.459999,3543330.0,31.003019,0.005537507879596504
2013-06-19,2013-06-19,43.799999,44.599998,43.334999,44.23,4311010.0,31.552317,0.017562438436343975
2013-06-20,2013-06-20,43.799999,43.799999,42.845001,43.029999,5909060.0,30.696272,-0.027505811281664183
2013-06-21,2013-06-21,43.0,43.0,41.439999,41.605,2219100.0,29.679722,-0.03367716231629103
2013-06-24,2013-06-24,41.400002,41.549999,39.5,40.064999,4592340.0,28.581133,-0.037717236855471466
2013-06-25,2013-06-25,40.299999,41.970001,39.005001,40.985001,3484480.0,29.237434000000004,0.02270305970978104
2013-06-26,2013-06-26,41.549999,41.549999,40.0,40.299999,2892900.0,28.748775,-0.0168547168928721
2013-06-27,2013-06-27,40.535,41.200001,39.0,39.84,8132040.0,28.420624,-0.011480078843259632
2013-06-28,2013-06-28,40.209999,41.200001,40.209999,40.924999,1936510.0,29.194632,0.02686977796128831
2013-07-01,2013-07-01,40.904999,42.095001,40.740002,41.759998,2525080.0,29.790293,0.020197745434136216
2013-07-02,2013-07-02,41.759998,42.439999,41.215,41.509998,2635680.0,29.61195,-0.0060046061173300025
2013-07-03,2013-07-03,41.209999,41.255001,39.825001,40.09,3444220.0,28.598965000000003,-0.034807467714978564
2013-07-04,2013-07-04,40.115002,41.0,39.424999,40.044998,3429310.0,28.566866,-0.0011230136188697948
2013-07-05,2013-07-05,40.240002,40.48,39.535,39.630001,2780130.0,28.270819,-0.010417372814804704
2013-07-08,2013-07-08,39.599998,40.0,38.41,39.705002,3245990.0,28.32432,0.001890657638882853
2013-07-09,2013-07-09,39.240002,40.055,38.814999,39.810001,2460700.0,36.723373,0.2596926192671454
2013-07-10,2013-07-10,39.814999,40.599998,39.125,39.57,1798800.0,36.501984,-0.006046803556554625
2013-07-11,2013-07-11,40.119999,40.900002,40.0,40.080002,3405810.0,36.97244600000001,0.012806317237134213
2013-07-12,2013-07-12,40.099998,40.560001,39.424999,39.59,11492160.0,36.520432,-0.012301047721196223
2013-07-15,2013-07-15,39.5,40.25,39.5,39.884998,4068410.0,36.792557,0.007423684492189332
