Date,Date.1,MRPL.NS.Open,MRPL.NS.High,MRPL.NS.Low,MRPL.NS.Close,MRPL.NS.Volume,MRPL.NS.Adjusted,log_returns
2014-12-09,2014-12-09,53.099998,53.900002,50.75,51.700001,235804.0,46.978676,-0.02766034902533443
2014-12-10,2014-12-10,51.799999,52.200001,51.400002,51.900002,150164.0,47.160412,0.00386101521969584
2014-12-11,2014-12-11,52.5,52.5,50.549999,50.799999,179650.0,46.160862,-0.021422515645882708
2014-12-12,2014-12-12,49.299999,50.700001,48.299999,48.950001,308359.0,44.479813,-0.03709685040546118
2014-12-15,2014-12-15,48.450001,48.799999,47.299999,47.5,220058.0,43.162228000000006,-0.030069684867124025
2014-12-16,2014-12-16,47.5,47.75,45.549999,45.700001,291491.0,41.526608,-0.03863138251961251
2014-12-17,2014-12-17,45.799999,46.450001,45.099998,45.799999,270171.0,41.617474,0.0021857487385816827
2014-12-18,2014-12-18,46.450001,47.349998,46.25,47.049999,201940.0,42.753319,0.02692670264739672
2014-12-19,2014-12-19,47.799999,50.5,47.650002,48.25,588448.0,43.843731,0.02518491414950752
2014-12-22,2014-12-22,48.049999,48.650002,46.799999,47.900002,248589.0,43.525696,-0.00728026760926781
2014-12-23,2014-12-23,47.599998,48.299999,47.299999,47.650002,115762.0,43.298527,-0.005232860382228477
2014-12-24,2014-12-24,47.75,47.950001,46.599998,47.049999,135159.0,42.753319,-0.012671786158011232
2014-12-26,2014-12-26,47.0,47.849998,46.700001,47.0,100907.0,42.707886,-0.0010632427726737779
2014-12-29,2014-12-29,46.599998,48.0,46.599998,47.049999,230604.0,42.753319,0.0010632427726737779
2014-12-30,2014-12-30,47.150002,47.599998,46.799999,47.049999,133285.0,42.753319,0.0
2014-12-31,2014-12-31,47.25,47.75,46.900002,47.049999,159565.0,42.753319,0.0
2015-01-01,2015-01-01,47.25,48.5,47.049999,47.849998,298211.0,43.480263,0.016860281196724003
2015-01-02,2015-01-02,47.599998,49.299999,47.599998,48.450001,292873.0,44.025471,0.012461241799057277
2015-01-05,2015-01-05,48.25,49.5,48.25,48.75,196563.0,44.298073,0.006172824441832425
2015-01-06,2015-01-06,48.799999,48.799999,46.900002,47.0,159594.0,42.707886,-0.03655759021028748
2015-01-07,2015-01-07,46.549999,47.599998,46.049999,46.299999,150332.0,42.071812,-0.015005619276446502
2015-01-08,2015-01-08,46.599998,48.099998,46.599998,47.950001,221668.0,43.571133,0.035016876175611784
2015-01-09,2015-01-09,48.299999,51.299999,47.5,50.299999,822317.0,45.706524,0.047846200900397484
2015-01-12,2015-01-12,50.0,50.799999,48.950001,49.349998,243824.0,44.843277,-0.019067367219754328
2015-01-13,2015-01-13,49.549999,49.650002,48.0,48.150002,153486.0,43.752869,-0.024616489806781768
2015-01-14,2015-01-14,48.900002,48.900002,46.549999,46.950001,214656.0,42.662453,-0.02523797523426019
2015-01-15,2015-01-15,47.799999,48.200001,47.150002,47.5,199724.0,43.162228000000006,0.01164654836754142
2015-01-16,2015-01-16,47.599998,47.849998,47.0,47.049999,127567.0,42.753319,-0.009518931133634112
2015-01-19,2015-01-19,47.0,47.900002,47.0,47.599998,162907.0,43.253094,0.011621938595411494
2015-01-20,2015-01-20,47.5,47.799999,47.049999,47.25,151762.0,42.935055,-0.007380143261652704
2015-01-21,2015-01-21,47.299999,51.700001,47.299999,48.950001,1596548.0,44.479813,0.035346820666999346
2015-01-22,2015-01-22,49.400002,49.400002,47.799999,48.049999,279504.0,43.661999,-0.018557310107005787
2015-01-23,2015-01-23,48.099998,51.099998,47.799999,50.5,930999.0,45.888264,0.04973126240888792
2015-01-27,2015-01-27,52.200001,52.950001,51.150002,51.599998,1343782.0,46.887802,0.02154815823766221
2015-01-28,2015-01-28,51.400002,53.349998,50.400002,52.900002,759753.0,48.069092,0.0248818362710912
2015-01-29,2015-01-29,52.900002,58.0,52.0,57.299999,2642029.0,52.067272,0.07989718218281716
2015-01-30,2015-01-30,58.950001,59.450001,56.299999,59.049999,1705119.0,53.657459,0.030083915377468795
2015-02-02,2015-02-02,58.599998,58.799999,56.25,56.700001,396949.0,51.522068,-0.040610269425647605
2015-02-03,2015-02-03,57.0,57.200001,54.5,54.799999,285459.0,49.795578000000006,-0.03408403583471386
2015-02-04,2015-02-04,55.549999,58.400002,55.400002,56.0,603862.0,50.885994,0.021661533789628432
2015-02-05,2015-02-05,56.0,56.900002,53.400002,53.75,339031.0,48.841469,-0.04100799210173367
2015-02-06,2015-02-06,53.799999,55.0,53.349998,54.0,322139.0,49.068634,0.00464028533632055
2015-02-09,2015-02-09,53.700001,55.25,52.700001,54.349998,298938.0,49.386673,0.0064605985379175826
2015-02-10,2015-02-10,55.049999,56.900002,54.799999,55.400002,613405.0,50.340786,0.019134992941766796
2015-02-11,2015-02-11,56.400002,56.549999,54.200001,54.5,343012.0,49.522972,-0.016378960680726532
2015-02-12,2015-02-12,55.450001,55.5,53.599998,54.0,190257.0,49.068634,-0.009216630798957848
2015-02-13,2015-02-13,54.900002,61.0,53.099998,58.950001,4164452.0,53.56659300000001,0.08770559690948332
2015-02-16,2015-02-16,57.200001,57.200001,55.200001,56.25,1263035.0,51.113163,-0.04688355184777748
2015-02-18,2015-02-18,57.099998,61.900002,56.349998,61.349998,2171648.0,55.747421,0.08678909218723074
2015-02-19,2015-02-19,61.900002,64.400002,61.25,63.349998,1638346.0,57.564774,0.03207966894071035
2015-02-20,2015-02-20,62.75,63.900002,62.0,63.200001,809780.0,57.42847800000001,-0.002370505424508451
2015-02-23,2015-02-23,63.299999,65.5,63.049999,64.949997,1275339.0,59.018661,0.027313369336051885
2015-02-24,2015-02-24,65.099998,65.449997,63.5,65.0,1200957.0,59.064098,0.0007695789398436402
2015-02-25,2015-02-25,65.150002,65.900002,62.5,63.299999,482710.0,57.519344,-0.026501952353641837
2015-02-26,2015-02-26,63.0,63.599998,62.0,62.349998,769855.0,56.656101,-0.015121630562501487
2015-02-27,2015-02-27,62.75,64.75,62.450001,62.950001,544052.0,57.201309,0.00957710468282258
2015-03-02,2015-03-02,63.5,63.5,62.299999,63.049999,333012.0,57.292175,0.0015872697013490367
2015-03-03,2015-03-03,62.099998,64.150002,62.099998,63.299999,844808.0,57.519344,0.003957256178329871
2015-03-04,2015-03-04,64.050003,65.5,64.050003,64.800003,800817.0,58.882362,0.023420280486179838
2015-03-05,2015-03-05,64.800003,69.0,64.800003,68.25,1622690.0,62.0173,0.05187178927574987
2015-03-09,2015-03-09,67.449997,68.800003,66.449997,67.75,522364.0,61.562962,-0.0073529549082200765
2015-03-10,2015-03-10,67.300003,69.800003,67.300003,69.0,575949.0,62.698811,0.01828206066900861
2015-03-11,2015-03-11,68.0,69.849998,67.150002,68.099998,534685.0,61.881001,-0.01312928209706854
2015-03-12,2015-03-12,68.050003,69.25,66.349998,67.0,332792.0,60.88145400000001,-0.016284605727761026
2015-03-13,2015-03-13,67.599998,67.800003,63.700001,64.0,318970.0,58.155418,-0.045809548863609
2015-03-16,2015-03-16,64.0,64.449997,62.400002,63.650002,253241.0,57.837383,-0.005483716131186256
2015-03-17,2015-03-17,64.349998,64.900002,63.099998,64.25,147901.0,58.38259100000001,0.009382414756620605
2015-03-18,2015-03-18,64.75,66.849998,63.650002,66.050003,379292.0,60.01821500000001,0.027630353404657804
2015-03-19,2015-03-19,66.699997,67.300003,64.599998,66.5,349137.0,60.42711600000001,0.00678984511119296
2015-03-20,2015-03-20,65.599998,69.650002,65.25,66.300003,1689671.0,60.245384,-0.0030119892666613524
2015-03-23,2015-03-23,66.400002,68.0,63.0,63.599998,148313.0,57.791946,-0.041576531919168325
2015-03-24,2015-03-24,63.150002,65.199997,63.0,63.25,204380.0,57.473911,-0.0055183003073810966
2015-03-25,2015-03-25,63.700001,64.849998,63.25,64.400002,213147.0,58.518894,0.01801855335047353
2015-03-26,2015-03-26,63.650002,64.5,63.349998,64.050003,132755.0,58.200859,-0.005449562373149419
2015-03-27,2015-03-27,64.75,66.949997,64.150002,64.949997,389157.0,59.018661,0.013953567954120059
2015-03-30,2015-03-30,64.550003,67.5,64.550003,67.300003,265448.0,61.15406,0.03554257200926258
2015-03-31,2015-03-31,67.599998,69.25,67.0,67.400002,753272.0,61.24493,0.0014848164465233182
2015-04-01,2015-04-01,67.75,70.900002,67.599998,70.5,862514.0,64.061829,0.04496762464298065
2015-04-06,2015-04-06,70.949997,73.599998,70.800003,72.050003,854434.0,65.47028399999999,0.02174766517673099
2015-04-07,2015-04-07,72.25,73.5,71.699997,73.099998,558906.0,66.42439300000001,0.01446799317015657
2015-04-08,2015-04-08,73.099998,73.949997,71.75,72.599998,288057.0,65.970055,-0.006863426531693585
2015-04-09,2015-04-09,72.5,75.800003,71.650002,72.25,1041265.0,65.652023,-0.0048325117450431785
2015-04-10,2015-04-10,72.199997,74.800003,72.199997,73.900002,564709.0,67.151337,0.02258041821715384
2015-04-13,2015-04-13,73.949997,74.900002,72.900002,73.25,565725.0,66.560692,-0.008834640325312115
2015-04-15,2015-04-15,73.400002,74.199997,69.349998,70.900002,375001.0,64.425301,-0.03260776446666913
2015-04-16,2015-04-16,71.0,73.0,69.099998,71.949997,274971.0,65.37941,0.01470094846207992
2015-04-17,2015-04-17,72.0,74.650002,71.699997,74.349998,1616817.0,67.560242,0.032812296845433415
2015-04-20,2015-04-20,75.050003,76.199997,74.050003,74.599998,1450859.0,67.787415,0.003356884313529207
2015-04-21,2015-04-21,74.0,75.550003,73.599998,74.150002,366229.0,67.37850999999999,-0.006050433900756325
2015-04-22,2015-04-22,73.699997,74.800003,71.300003,72.449997,298130.0,65.833748,-0.02319352995973389
2015-04-23,2015-04-23,73.0,73.699997,72.050003,72.599998,265243.0,65.970055,0.0020683325593182644
2015-04-24,2015-04-24,73.0,73.300003,70.25,70.849998,226444.0,64.37986,-0.0244000756668088
2015-04-27,2015-04-27,72.599998,72.599998,67.099998,67.650002,212499.0,61.472099,-0.04621745420573831
2015-04-28,2015-04-28,67.050003,70.5,67.050003,69.550003,707705.0,63.198589,0.027698577880038933
2015-04-29,2015-04-29,70.0,70.5,69.150002,69.5,212766.0,63.153149,-0.0007192620011133856
2015-04-30,2015-04-30,68.949997,72.199997,68.949997,69.949997,325627.0,63.562054,0.0064539441152273724
2015-05-04,2015-05-04,69.5,72.400002,69.5,70.25,293333.0,63.83466,0.004279645958107814
2015-05-05,2015-05-05,71.0,71.800003,69.949997,70.75,864113.0,64.289001,0.007092256042356305
