Date,Date.1,ICICIBANK.NS.Open,ICICIBANK.NS.High,ICICIBANK.NS.Low,ICICIBANK.NS.Close,ICICIBANK.NS.Volume,ICICIBANK.NS.Adjusted,log_returns
2014-09-29,2014-09-29,268.963989,269.091003,264.173004,265.182007,7073149.0,250.354782,-0.013245929331668016
2014-09-30,2014-09-30,264.545013,266.89099100000004,259.545013,260.644989,13333392.0,246.071426,-0.01725719646919277
2014-10-01,2014-10-01,262.364014,262.364014,258.0,259.79098500000003,10776667.0,245.265182,-0.003281842673676039
2014-10-07,2014-10-07,257.27301,264.817993,257.27301,259.936005,18449612.0,245.402115,0.0005581501126821209
2014-10-08,2014-10-08,259.56399500000003,264.48199500000004,259.454987,263.372986,10532802.0,248.646896,0.01313565085083468
2014-10-09,2014-10-09,264.545013,271.782013,264.545013,270.618011,12238358.0,255.486847,0.02713712719417849
2014-10-10,2014-10-10,267.454987,269.545013,264.255005,265.264008,9018405.0,250.43219,-0.019982743589946672
2014-10-13,2014-10-13,263.091003,269.326996,261.235992,268.709015,9459494.0,253.684586,0.012903522683452628
2014-10-14,2014-10-14,269.98199500000004,270.408997,263.872986,268.735992,11288404.0,253.710037,0.00010032033792928274
2014-10-15,2014-10-15,268.735992,268.735992,268.735992,268.735992,0.0,253.710037,0.0
2014-10-16,2014-10-16,267.635986,271.65499900000003,263.936005,265.554993,15670606.0,250.706909,-0.011907464678255764
2014-10-17,2014-10-17,267.591003,274.79098500000003,267.27301,273.673004,14839424.0,258.371002,0.030111980629158094
2014-10-20,2014-10-20,281.609009,281.609009,277.417999,279.436005,13952153.0,263.81176800000003,0.02083930459200012
2014-10-21,2014-10-21,280.0,288.436005,280.0,287.6549990000001,15513168.0,271.571259,0.028988720183785514
2014-10-22,2014-10-22,289.454987,289.799988,284.0639950000001,285.635986,8615480.0,269.6651,-0.00704375029274118
2014-10-27,2014-10-27,287.700012,288.72699,285.036011,286.009003,11126714.0,270.017273,0.0013051122942213669
2014-10-28,2014-10-28,287.27301,292.345001,287.27301,291.135986,10254244.0,274.857574,0.017767119749981575
2014-10-29,2014-10-29,293.264008,293.264008,290.1270140000001,291.972992,10474618.0,275.647797,0.0028709022087154428
2014-10-30,2014-10-30,290.927002,295.600006,288.0,293.463989,26322632.0,277.05542,0.0050936053928385405
2014-10-31,2014-10-31,292.963989,296.945007,290.817993,295.755005,21065660.0,279.218353,0.007776544590774037
2014-11-03,2014-11-03,295.635986,300.0,293.1549990000001,299.217987,13022334.0,282.487701,0.011640910387074044
2014-11-05,2014-11-05,301.0,305.454987,299.317993,303.8819890000001,16438026.0,286.89093,0.0154670953292948
2014-11-07,2014-11-07,305.182007,307.591003,302.109009,306.30899,9347464.0,289.1822200000001,0.007954899765092449
2014-11-10,2014-11-10,305.582001,305.717987,302.445007,303.091003,8030726.0,286.144165,-0.010561251205872145
2014-11-11,2014-11-11,302.0,307.454987,301.317993,306.463989,11662277.0,289.328552,0.01106714326597924
2014-11-12,2014-11-12,307.855011,311.80899,307.855011,310.536011,10523271.0,293.172913,0.013199681196556234
2014-11-13,2014-11-13,310.582001,312.0,306.635986,307.72699,15610947.0,290.520935,-0.009086942606774784
2014-11-14,2014-11-14,306.545013,308.908997,306.399994,307.69101,10524866.0,290.487,-0.00011681423951159785
2014-11-17,2014-11-17,306.72699,306.72699,302.182007,304.335999,13396053.0,287.31955,-0.010963813852935544
2014-11-18,2014-11-18,304.72699,306.817993,303.927002,305.673004,11248880.0,288.581818,0.004383632654735514
