Date,Date.1,NBCC.NS.Open,NBCC.NS.High,NBCC.NS.Low,NBCC.NS.Close,NBCC.NS.Volume,NBCC.NS.Adjusted,log_returns
2014-12-11,2014-12-11,58.46670200000001,58.666698,57.3367,57.560001,6542655.0,49.012424,-0.013631352875807412
2014-12-12,2014-12-12,57.866699,58.133301,54.009998,54.463299,7213035.0,46.375576,-0.05530087565676611
2014-12-15,2014-12-15,54.0,56.32,52.8367,53.276699,11551545.0,45.365181,-0.022028068861983833
2014-12-16,2014-12-16,52.7467,54.333302,50.766701,51.32,10015650.0,43.699051,-0.03741848685505333
2014-12-17,2014-12-17,51.46670200000001,52.533298,49.0,51.276699,10972965.0,43.662182,-0.0008440586498794643
2014-12-18,2014-12-18,52.333302,53.643299,52.333302,53.1367,6662685.0,45.245972,0.0356313226404148
2014-12-19,2014-12-19,53.733299,55.459999,53.139999,53.3633,10427400.0,45.438923,0.004255422938362674
2014-12-22,2014-12-22,53.0867,53.860001,52.483299,53.060001,4083585.0,45.180672,-0.005699687780277518
2014-12-23,2014-12-23,53.133301,53.436699,51.669998,52.353298,4083705.0,44.578907,-0.01340857483101665
2014-12-24,2014-12-24,52.07,53.266701,51.41,51.733299,4996245.0,44.050976,-0.011913301159292013
2014-12-26,2014-12-26,51.956699,52.759998,51.599998,51.82,3910200.0,44.124802,0.001674519214352799
2014-12-29,2014-12-29,52.266701,52.786701,51.6833,51.983299,4156020.0,44.263851,0.003146311432238313
2014-12-30,2014-12-30,52.533298,55.0667,52.4067,54.0,20135880.0,45.981079,0.038061646360852734
2014-12-31,2014-12-31,54.266701,55.43,53.919998,54.5233,9495960.0,46.426666,0.009644006647901104
2015-01-01,2015-01-01,54.673302,55.393299,53.8867,54.786701,6289920.0,46.650951,0.004819320505393686
2015-01-02,2015-01-02,55.0,56.1633,54.759998,55.153301,9588510.0,46.963116,0.006669214724957406
2015-01-05,2015-01-05,55.66,56.1133,54.740002,55.173302,5579910.0,46.980145,0.000362537983145117
2015-01-06,2015-01-06,54.533298,54.533298,52.150002,52.46670200000001,5851845.0,44.675468,-0.050300528997607515
2015-01-07,2015-01-07,52.66,53.4333,51.869999,52.5933,5130945.0,44.783268,0.002410050868107305
2015-01-08,2015-01-08,53.5033,54.766701,53.206699,53.68,10414680.0,45.708595,0.02045176709837948
2015-01-09,2015-01-09,55.666698,56.5,54.82,55.2733,10970895.0,47.065292,0.02924947455100213
2015-01-12,2015-01-12,55.426701,55.426701,54.349998,54.869999,4048500.0,46.721882,-0.0073232089227395205
2015-01-13,2015-01-13,55.206699,56.200001,54.333302,54.833302,6756345.0,46.690632,-0.0006690752625666541
2015-01-14,2015-01-14,54.993301,55.02,53.7733,54.276699,3594525.0,46.216686,-0.010202643267232414
2015-01-15,2015-01-15,55.0,55.189999,54.333302,54.639999,4254765.0,46.526035,0.00667114667201929
2015-01-16,2015-01-16,54.653301,56.106701,54.0,55.196701,7031700.0,47.000069,0.010137021408968659
2015-01-19,2015-01-19,55.213299,55.529999,54.3367,54.756699,3510315.0,46.625412,-0.008003355408022994
2015-01-20,2015-01-20,54.900002,56.0,54.540001,54.98,7482315.0,46.815548,0.004069655586175891
2015-01-21,2015-01-21,55.326698,55.799999,54.799999,55.106701,3799035.0,46.923439,0.0023019460972513173
2015-01-22,2015-01-22,55.2733,56.206699,55.0867,55.456699,6854280.0,47.221458,0.006331091858339466
2015-01-23,2015-01-23,56.0,56.0,54.426701,54.696701,3245205.0,46.574318,-0.013799134596235607
2015-01-27,2015-01-27,55.026699,55.026699,54.0,54.18,2437065.0,46.134346,-0.009491568190000521
2015-01-28,2015-01-28,54.133301,58.266701,53.666698,57.71670200000001,21615975.0,49.145855,0.0632348042228652
2015-01-29,2015-01-29,57.833302,58.599998,56.400002,57.93,15646770.0,49.32748,0.003688820043588947
2015-01-30,2015-01-30,58.233299,59.060001,57.456699,58.689999,11350020.0,49.974617,0.013033887117131382
2015-02-02,2015-02-02,58.1567,60.599998,57.799999,59.483299,11660160.0,50.650112,0.0134262254207691
2015-02-03,2015-02-03,59.599998,59.893299,58.18,58.543301,5641500.0,49.849701,-0.015928943550072017
2015-02-04,2015-02-04,58.73,58.733299,56.763302,57.116699,3521775.0,48.634953,-0.024670028457175697
2015-02-05,2015-02-05,57.0,57.9533,55.619999,55.923302,2764695.0,47.618771,-0.021115437696860084
2015-02-06,2015-02-06,55.733299,56.0467,53.4067,53.799999,4059855.0,45.810776,-0.03870768495381016
2015-02-09,2015-02-09,53.333302,53.333302,45.540001,47.286701,10168500.0,40.264694,-0.12904434172170465
2015-02-10,2015-02-10,47.006699,50.813301,46.6133,48.4333,16470165.0,41.24102,0.023958386545241076
2015-02-11,2015-02-11,49.553299,50.799999,49.0933,49.426701,9717300.0,42.086906,0.02030327882191552
2015-02-12,2015-02-12,49.833302,49.9333,48.373299,49.110001,5842740.0,41.817234,-0.006428119722964532
2015-02-13,2015-02-13,49.333302,50.32,48.483299,48.8633,7208430.0,41.607166,-0.005036139162900799
2015-02-16,2015-02-16,48.799999,49.860001,48.0667,48.3867,6630750.0,41.201347,-0.009801462051823416
2015-02-18,2015-02-18,48.779999,51.32,48.599998,50.21670200000001,13271130.0,42.75959,0.037122547714706584
2015-02-19,2015-02-19,50.653301,55.1833,50.533298,54.23,33498780.0,46.176918,0.07688656514072577
2015-02-20,2015-02-20,54.400002,54.9067,53.0,53.563301,11033970.0,45.60923,-0.012369954532787109
2015-02-23,2015-02-23,53.799999,56.526699,53.483299,55.666698,20526210.0,47.400272,0.03851785876275038
2015-02-24,2015-02-24,55.776699,57.5,55.666698,55.956699,13175430.0,47.647209,0.005196088375962749
2015-02-25,2015-02-25,56.310001,56.9333,55.669998,56.299999,7139175.0,47.939529,0.006116348719845455
2015-02-26,2015-02-26,56.333302,58.0667,55.799999,56.526699,11479650.0,48.132565,0.0040185708823354815
2015-02-27,2015-02-27,56.9333,57.46670200000001,56.18,56.89670200000001,4728435.0,48.447624,0.006524321827250823
2015-03-02,2015-03-02,58.1133,62.5667,56.766701,62.186699,27464565.0,52.952057,0.08890362237605043
2015-03-03,2015-03-03,62.666698,64.253304,61.8867,63.049999,26498145.0,53.687164,0.013787022022208271
2015-03-04,2015-03-04,63.806702,72.493301,63.213299,67.76329799999999,66911730.0,57.700535,0.07209250428327785
2015-03-05,2015-03-05,68.133301,71.873299,67.57,70.730003,22250310.0,60.2267,0.04284933001470837
