Date,Date.1,WIPRO.NS.Open,WIPRO.NS.High,WIPRO.NS.Low,WIPRO.NS.Close,WIPRO.NS.Volume,WIPRO.NS.Adjusted,log_returns
2015-06-01,2015-06-01,280.0,283.975006,279.375,281.774994,1672936.0,265.65130600000003,0.003288162037002884
2015-06-02,2015-06-02,280.975006,281.0,273.024994,274.399994,2035638.0,258.698273,-0.026522155644467027
2015-06-03,2015-06-03,275.125,279.125,272.024994,272.799988,3726902.0,257.18985,-0.005847885351382587
2015-06-04,2015-06-04,273.5,280.450012,273.5,276.350006,4656812.0,260.536713,0.012929255952625951
2015-06-05,2015-06-05,277.149994,282.475006,275.299988,277.899994,3393366.0,261.998016,0.005593147128520215
2015-06-08,2015-06-08,277.899994,280.850006,275.25,277.5,2276912.0,261.620911,-0.0014403798096402909
2015-06-09,2015-06-09,276.600006,278.674988,270.299988,271.774994,2385178.0,256.223511,-0.02084639800162336
2015-06-10,2015-06-10,271.25,283.475006,270.850006,281.375,3568688.0,265.27417,0.03471374152410701
2015-06-11,2015-06-11,282.5,283.0,271.524994,273.024994,3995452.0,257.401978,-0.030124915255999692
2015-06-12,2015-06-12,273.024994,277.200012,264.5,268.674988,4430830.0,253.300888,-0.01606091694426315
2015-06-15,2015-06-15,268.0,274.0,265.924988,270.450012,2065692.0,254.97435,0.006584889137874582
2015-06-16,2015-06-16,271.5,273.225006,267.524994,270.149994,2257578.0,254.691483,-0.001110009777892884
2015-06-17,2015-06-17,271.0,276.975006,270.549988,273.274994,2730294.0,257.637695,0.01150137296062148
2015-06-18,2015-06-18,273.75,280.200012,272.350006,278.049988,3573130.0,262.139465,0.01732235624861289
2015-06-19,2015-06-19,279.225006,288.875,278.399994,280.774994,10333256.0,264.708527,0.009752651246037304
2015-06-22,2015-06-22,279.950012,281.774994,276.524994,280.100006,3030398.0,264.072113,-0.0024071013919462203
2015-06-23,2015-06-23,282.0,282.0,277.5,278.700012,2135544.0,262.752228,-0.0050107318848278135
2015-06-24,2015-06-24,279.0,284.0,278.5,282.700012,2847062.0,266.523346,0.014250352756051575
2015-06-25,2015-06-25,281.75,281.950012,274.875,276.075012,4399964.0,260.277466,-0.023713603110341097
2015-06-26,2015-06-26,277.049988,280.674988,277.049988,279.325012,1564218.0,263.341492,0.011703399681385562
2015-06-29,2015-06-29,276.549988,277.475006,271.125,276.200012,1678956.0,260.395325,-0.011250681567244849
2015-06-30,2015-06-30,276.0,277.274994,272.5,273.350006,3140208.0,257.708405,-0.010372224453489842
2015-07-01,2015-07-01,272.024994,278.0,270.625,276.375,2409272.0,260.560242,0.01100535716558948
2015-07-02,2015-07-02,277.975006,280.25,274.524994,277.875,2010958.0,261.974426,0.005412798573488864
2015-07-03,2015-07-03,276.700012,277.200012,274.0,274.774994,1717122.0,259.051819,-0.011218773263235171
2015-07-06,2015-07-06,272.274994,275.875,271.850006,275.024994,1450366.0,259.287506,0.0009093927659939992
2015-07-07,2015-07-07,276.75,281.149994,276.350006,276.899994,1561920.0,261.05523700000003,0.006794513133677072
2015-07-08,2015-07-08,275.549988,279.375,274.5,276.375,1948494.0,260.560242,-0.001897931209924764
2015-07-09,2015-07-09,276.350006,278.225006,271.625,272.450012,1374162.0,256.859894,-0.014303313027693497
2015-07-10,2015-07-10,275.0,277.200012,272.774994,274.325012,2227304.0,258.627594,0.006858389272915488
2015-07-13,2015-07-13,274.549988,281.0,274.549988,279.825012,1811682.0,263.81286600000004,0.01985084490915057
2015-07-14,2015-07-14,278.75,283.700012,277.950012,282.700012,1235218.0,266.523346,0.010221831129728187
2015-07-15,2015-07-15,284.0,289.899994,283.274994,288.875,3268608.0,272.345001,0.021607806582943926
2015-07-16,2015-07-16,289.450012,291.0,286.100006,287.649994,1739150.0,271.190094,-0.00424961975293936
2015-07-17,2015-07-17,288.5,289.950012,282.600006,284.174988,1887816.0,267.913971,-0.012154103603670308
2015-07-20,2015-07-20,282.0,286.350006,281.0,284.299988,1496724.0,274.800873,0.025380811952255836
2015-07-21,2015-07-21,283.774994,292.549988,283.674988,288.299988,3128950.0,278.667236,0.013971630277662685
2015-07-22,2015-07-22,290.0,294.299988,288.0,292.299988,2053098.0,282.5336,0.01377911409031807
2015-07-23,2015-07-23,293.799988,296.899994,287.325012,294.524994,4458826.0,284.684235,0.007583137105790172
2015-07-24,2015-07-24,291.524994,293.0,282.600006,283.375,4517022.0,273.90679900000003,-0.03859271978378942
2015-07-27,2015-07-27,282.5,284.875,279.875,280.825012,1975314.0,271.441986,-0.009039461905774536
2015-07-28,2015-07-28,280.75,281.125,276.75,278.325012,3099698.0,269.025513,-0.008942218012634841
2015-07-29,2015-07-29,278.5,284.0,278.475006,282.424988,2253110.0,272.988495,0.01462343246916653
2015-07-30,2015-07-30,284.0,284.850006,277.850006,281.0,2091774.0,271.611145,-0.0050582219874169
2015-07-31,2015-07-31,281.5,286.0,281.475006,284.924988,2642664.0,275.40499900000003,0.01387130845667883
2015-08-03,2015-08-03,285.5,287.950012,284.5,285.200012,1295732.0,275.670807,0.0009646876807858363
2015-08-04,2015-08-04,285.450012,285.450012,278.75,279.924988,2919974.0,270.572052,-0.01866899678350542
2015-08-05,2015-08-05,280.625,289.0,279.924988,287.674988,2136162.0,278.06308,0.027309565619752615
2015-08-06,2015-08-06,289.5,289.875,284.5,285.799988,1883614.0,276.250732,-0.00653909182386947
2015-08-07,2015-08-07,285.799988,287.950012,283.024994,284.549988,1582474.0,275.042542,-0.004383118718347846
2015-08-10,2015-08-10,284.024994,286.725006,280.049988,281.725006,1445462.0,272.311951,-0.009977496074331071
2015-08-11,2015-08-11,283.0,283.725006,277.524994,283.075012,2502350.0,273.616852,0.004780489609312433
2015-08-12,2015-08-12,281.125,290.649994,281.125,288.875,2746490.0,279.222992,0.020281939649037458
2015-08-13,2015-08-13,288.774994,289.75,282.899994,285.600006,2066596.0,276.057465,-0.01140166650095864
2015-08-14,2015-08-14,285.600006,288.899994,283.325012,287.625,1713084.0,278.014801,0.0070653027136593485
2015-08-17,2015-08-17,287.899994,289.5,284.424988,287.924988,829824.0,278.304749,0.0010423794247529372
2015-08-18,2015-08-18,288.850006,293.75,284.25,285.575012,2804970.0,276.033295,-0.008195240205913557
2015-08-19,2015-08-19,286.850006,293.375,286.0,292.375,2180618.0,282.6060490000001,0.023532382334384927
2015-08-20,2015-08-20,292.5,293.174988,286.875,288.375,2408984.0,278.739716,-0.013775446013591264
2015-08-21,2015-08-21,287.399994,288.5,281.850006,288.0,2769476.0,278.377258,-0.001301191915002775
2015-08-24,2015-08-24,284.475006,287.0,268.049988,272.174988,4456824.0,263.081024,-0.056515176127497575
2015-08-25,2015-08-25,274.674988,275.75,264.149994,270.649994,5736480.0,261.606964,-0.005618820753888088
2015-08-26,2015-08-26,272.450012,278.299988,271.549988,275.475006,4141504.0,266.270721,0.017670299323688354
2015-08-27,2015-08-27,278.725006,278.725006,273.299988,275.674988,4821580.0,266.46405,0.0007257983484878494
2015-08-28,2015-08-28,277.149994,282.725006,276.174988,281.799988,2143094.0,272.38439900000003,0.021974962545693092
2015-08-31,2015-08-31,281.799988,287.5,280.350006,285.899994,3357898.0,276.347412,0.01444451305795802
2015-09-01,2015-09-01,285.649994,286.0,280.0,282.075012,2663642.0,272.650238,-0.013469019013968795
2015-09-02,2015-09-02,283.075012,284.600006,274.600006,277.125,2464578.0,267.865601,-0.017704428368362283
2015-09-03,2015-09-03,279.5,284.0,279.274994,283.575012,1232044.0,274.100128,0.02300810437416434
2015-09-04,2015-09-04,284.0,285.799988,273.600006,277.0,2973134.0,267.744781,-0.023459253217090748
2015-09-07,2015-09-07,276.950012,278.399994,272.075012,276.049988,2140956.0,266.826538,-0.003435440213397811
2015-09-08,2015-09-08,275.149994,283.0,275.0,281.799988,1535308.0,272.38439900000003,0.020615523380697283
2015-09-09,2015-09-09,283.399994,286.774994,279.100006,280.549988,1537176.0,271.176178,-0.004445587266581619
2015-09-10,2015-09-10,277.5,279.875,275.174988,276.049988,3290952.0,266.826538,-0.016169936114115657
2015-09-11,2015-09-11,277.5,281.424988,277.399994,279.549988,1531748.0,270.20959500000004,0.012599158767402585
2015-09-14,2015-09-14,280.5,286.850006,279.600006,285.825012,4006862.0,276.274963,0.02219867692190736
2015-09-15,2015-09-15,284.5,287.0,283.024994,285.549988,1851638.0,276.009125,-0.0009626857854749816
2015-09-16,2015-09-16,286.950012,291.0,285.725006,290.274994,3728142.0,280.576233,0.016411536674745264
2015-09-18,2015-09-18,290.350006,297.5,290.0,296.0,3712092.0,286.109985,0.01953083639196596
2015-09-21,2015-09-21,294.899994,298.5,292.25,296.100006,4440276.0,286.206604,0.00033764179747652884
2015-09-22,2015-09-22,296.0,302.125,295.0,297.950012,6760516.0,287.994812,0.006228524455786477
2015-09-23,2015-09-23,294.549988,298.200012,291.075012,295.375,2823438.0,285.505859,-0.008679915307892472
2015-09-24,2015-09-24,297.0,302.450012,293.5,301.524994,4160528.0,291.450348,0.020607107743784603
2015-09-28,2015-09-28,301.0,301.0,295.024994,296.475006,1995992.0,286.569092,-0.01688999262675139
2015-09-29,2015-09-29,292.799988,298.950012,292.5,294.149994,3044362.0,284.321777,-0.007873051507135466
2015-09-30,2015-09-30,297.049988,299.475006,296.0,298.924988,3596412.0,288.937256,0.016102942887991745
2015-10-01,2015-10-01,299.024994,306.649994,298.674988,299.875,7000374.0,289.855469,0.0031728587131309998
2015-10-05,2015-10-05,300.200012,304.950012,298.549988,300.149994,3412602.0,290.121307,0.0009167195295320953
2015-10-06,2015-10-06,301.200012,305.0,299.100006,299.674988,3039794.0,289.66217,-0.0015838226310087578
2015-10-07,2015-10-07,299.899994,299.899994,292.5,294.424988,1869638.0,284.587585,-0.017674250810448378
2015-10-08,2015-10-08,295.799988,298.475006,292.825012,294.899994,2204454.0,285.046692,0.0016119363526625465
2015-10-09,2015-10-09,297.850006,298.325012,292.600006,296.174988,2698816.0,286.279114,0.004314259564784706
