Date,Date.1,SUPREMEIND.NS.Open,SUPREMEIND.NS.High,SUPREMEIND.NS.Low,SUPREMEIND.NS.Close,SUPREMEIND.NS.Volume,SUPREMEIND.NS.Adjusted,log_returns
2013-07-08,2013-07-08,328.799988,334.0,328.0,330.100006,10502.0,308.239746,-0.007244300156872718
2013-07-09,2013-07-09,334.350006,338.649994,329.25,337.5,15624.0,315.149719,0.02216994803547756
2013-07-10,2013-07-10,339.649994,342.399994,330.100006,339.299988,7456.0,316.830475,0.005319027332264525
2013-07-11,2013-07-11,339.950012,344.0,339.950012,343.75,17538.0,320.98584,0.013030158355429757
2013-07-12,2013-07-12,344.850006,347.0,338.5,344.899994,9756.0,322.059601,0.0033396146819848482
2013-07-15,2013-07-15,346.0,359.700012,344.899994,354.25,18333.0,330.790436,0.026748426312944492
2013-07-16,2013-07-16,345.0,356.0,345.0,354.5,24102.0,331.023956,0.0007056963780600611
2013-07-17,2013-07-17,357.950012,358.0,352.5,354.100006,25811.0,330.6503600000001,-0.0011292444958694858
2013-07-18,2013-07-18,352.200012,362.899994,352.049988,359.799988,52738.0,335.972961,0.01596918062614261
2013-07-19,2013-07-19,362.0,375.0,357.299988,370.100006,85798.0,345.59082,0.028224790566334867
2013-07-22,2013-07-22,371.0,378.0,370.0,374.049988,16367.0,349.279175,0.0106160567199014
2013-07-23,2013-07-23,375.0,380.0,371.049988,374.25,18674.0,349.466003,0.0005347528980070848
2013-07-24,2013-07-24,367.0,375.299988,367.0,372.950012,13066.0,348.252106,-0.003479623673633192
2013-07-25,2013-07-25,370.0,374.649994,369.0,373.0,6987.0,348.298767,0.00013397729262365488
2013-07-26,2013-07-26,371.149994,374.75,350.649994,360.399994,19933.0,336.533234,-0.03436372936161725
2013-07-29,2013-07-29,360.399994,360.399994,346.850006,348.950012,6899.0,325.841461,-0.032285960826559545
2013-07-30,2013-07-30,350.0,356.0,343.0,351.75,19285.0,328.456055,0.007992107116557179
2013-07-31,2013-07-31,349.899994,351.0,340.200012,342.600006,53667.0,319.911926,-0.026357327581689738
2013-08-01,2013-08-01,341.950012,350.0,335.149994,340.75,16005.0,318.184448,-0.005414486872864721
2013-08-02,2013-08-02,337.0,346.0,336.5,339.450012,13299.0,316.970551,-0.003822369279567362
2013-08-05,2013-08-05,341.0,349.700012,339.5,341.399994,7959.0,318.7914120000001,0.005728137525495392
2013-08-06,2013-08-06,343.950012,343.950012,330.350006,335.850006,11055.0,313.608948,-0.01639018680130899
2013-08-07,2013-08-07,339.0,339.0,327.049988,333.399994,41708.0,311.321228,-0.007321554654636131
2013-08-08,2013-08-08,330.0,335.0,327.200012,333.600006,6354.0,311.507965,0.0005996411462216855
2013-08-12,2013-08-12,335.0,339.299988,332.0,336.899994,2967.0,314.589417,0.009843442792039523
2013-08-13,2013-08-13,339.75,347.0,333.899994,345.100006,13493.0,322.246399,0.024048116686863352
2013-08-14,2013-08-14,348.850006,353.899994,342.049988,347.25,10395.0,324.254059,0.006210874033994784
2013-08-16,2013-08-16,341.0,346.399994,331.0,338.149994,30336.0,315.756683,-0.026555414751304518
2013-08-19,2013-08-19,332.899994,337.850006,321.350006,326.5,14872.0,304.878143,-0.03505976085959617
2013-08-20,2013-08-20,321.100006,326.700012,316.0,321.350006,42002.0,300.069183,-0.015899107556235137
2013-08-21,2013-08-21,322.049988,329.100006,318.0,320.899994,25410.0,299.6489870000001,-0.001401311782034398
2013-08-22,2013-08-22,318.0,330.899994,316.149994,323.799988,38281.0,302.356934,0.00899647385460689
2013-08-23,2013-08-23,324.5,329.399994,321.5,326.100006,3628.0,304.504639,0.007078101702694185
2013-08-26,2013-08-26,333.450012,342.0,329.5,334.049988,25161.0,311.928131,0.02408649007095054
2013-08-27,2013-08-27,336.899994,339.600006,328.75,329.950012,6878.0,308.09967,-0.012349477394788977
2013-08-28,2013-08-28,325.049988,325.049988,305.700012,320.200012,19405.0,298.995422,-0.029995072284548563
2013-08-29,2013-08-29,318.25,319.950012,303.0,318.200012,11399.0,297.127808,-0.006265886033037128
2013-08-30,2013-08-30,320.0,323.899994,290.200012,322.350006,3235.0,301.0029600000001,0.012957722383921677
2013-09-02,2013-09-02,321.100006,328.899994,318.0,324.0,20557.0,302.543701,0.00510563456480817
2013-09-03,2013-09-03,320.0,330.899994,316.0,320.149994,19878.0,298.948669,-0.011953850084912787
2013-09-04,2013-09-04,328.0,328.0,316.0,317.700012,16646.0,296.660889,-0.0076821844799308545
2013-09-05,2013-09-05,315.0,319.549988,308.350006,313.950012,37746.0,298.323792,0.0055897483848710286
2013-09-06,2013-09-06,319.200012,319.200012,307.950012,310.450012,30632.0,294.998077,-0.011210609297895855
2013-09-10,2013-09-10,310.0,314.0,308.950012,311.299988,8032.0,295.805695,0.002733965290422802
2013-09-11,2013-09-11,315.0,332.399994,315.0,328.200012,16240.0,311.864563,0.05286619765021605
2013-09-12,2013-09-12,325.0,333.25,320.399994,326.299988,5540.0,310.059113,-0.005806034217652467
2013-09-13,2013-09-13,322.0,332.850006,322.0,329.200012,33118.0,312.814819,0.008848416471181508
2013-09-16,2013-09-16,333.5,333.5,310.350006,316.299988,14203.0,300.556793,-0.03997465174239867
2013-09-17,2013-09-17,316.850006,318.899994,311.200012,315.350006,18957.0,299.654144,-0.003007774849995037
2013-09-18,2013-09-18,318.049988,322.5,317.5,320.549988,14019.0,304.5953370000001,0.01635517546615883
2013-09-19,2013-09-19,326.0,333.450012,317.049988,322.899994,16078.0,306.828308,0.007304202073057375
2013-09-20,2013-09-20,320.049988,327.0,319.799988,325.899994,6577.0,309.679016,0.009247994975327243
2013-09-23,2013-09-23,326.950012,339.850006,326.0,330.149994,330499.0,313.717468,0.012956468629831795
2013-09-24,2013-09-24,325.149994,335.0,323.049988,332.850006,436948.0,316.283081,0.008144841103031375
2013-09-25,2013-09-25,333.0,340.600006,330.0,339.799988,16174.0,322.887207,0.020665419378572917
2013-09-26,2013-09-26,341.899994,345.950012,338.899994,340.299988,10175.0,323.362305,0.001470324005725665
2013-09-27,2013-09-27,340.0,346.0,337.100006,338.100006,19274.0,321.27182,-0.006485825826174185
2013-09-30,2013-09-30,343.950012,343.950012,336.0,338.0,92597.0,321.176819,-0.00029574660113063084
2013-10-01,2013-10-01,333.200012,342.950012,333.200012,340.149994,164571.0,323.219727,0.006340551813508455
2013-10-03,2013-10-03,340.0,344.799988,334.049988,342.100006,16766.0,325.0727540000001,0.005716654444520408
2013-10-04,2013-10-04,346.950012,347.399994,338.850006,346.399994,8462.0,329.158661,0.012490871060038877
2013-10-07,2013-10-07,349.0,372.850006,347.899994,368.75,44199.0,350.396301,0.06252491570091845
2013-10-08,2013-10-08,369.75,375.700012,364.100006,370.649994,18616.0,352.20163,0.0051390216039726155
2013-10-09,2013-10-09,365.0,378.450012,362.5,371.850006,34160.0,353.341949,0.0032324579993439073
2013-10-10,2013-10-10,368.25,375.0,364.100006,368.100006,8396.0,349.778595,-0.01013591350057208
2013-10-11,2013-10-11,368.25,374.0,368.0,370.200012,11378.0,351.774078,0.005688777074940532
2013-10-14,2013-10-14,367.0,374.450012,357.049988,361.399994,9020.0,343.412079,-0.024058023109238214
2013-10-15,2013-10-15,362.0,370.0,358.049988,365.350006,32426.0,347.1654660000001,0.010870390985467715
2013-10-17,2013-10-17,365.350006,390.899994,365.25,384.149994,342255.0,365.029785,0.05017743943931397
2013-10-18,2013-10-18,388.899994,393.950012,384.0,391.0,77551.0,371.538849,0.01767447904878594
2013-10-21,2013-10-21,391.0,409.899994,391.0,399.350006,222126.0,379.473175,0.02113047718370353
2013-10-22,2013-10-22,395.0,401.950012,392.5,395.100006,8197.0,375.434753,-0.010699213438842392
2013-10-23,2013-10-23,394.950012,396.0,381.5,386.600006,9407.0,367.357788,-0.021748423454987176
2013-10-24,2013-10-24,380.399994,394.0,380.399994,386.450012,7264.0,367.215332,-0.0003878606442500043
2013-10-25,2013-10-25,388.850006,388.850006,376.0,378.700012,10363.0,359.851044,-0.02025823252886294
2013-10-28,2013-10-28,380.700012,388.0,366.100006,373.100006,17363.0,354.529755,-0.014897901588727612
2013-10-29,2013-10-29,375.700012,399.950012,375.700012,395.200012,484597.0,375.529816,0.05754559394423797
2013-10-30,2013-10-30,392.0,398.0,385.149994,393.200012,37237.0,373.629303,-0.005073734080887071
2013-10-31,2013-10-31,388.799988,396.950012,385.0,390.049988,43632.0,370.636108,-0.008043397135256036
2013-11-01,2013-11-01,391.0,398.0,386.149994,392.950012,26603.0,373.391785,0.007407490032178998
2013-11-05,2013-11-05,389.950012,398.799988,381.0,395.75,98600.0,376.052399,0.0071002623928899675
2013-11-06,2013-11-06,390.5,405.450012,390.5,401.149994,38064.0,381.183655,0.013552800383432206
2013-11-07,2013-11-07,404.799988,404.799988,395.549988,396.899994,19704.0,377.145111,-0.010651269902755443
